verbatimDistrinctLicenseAndRightsStatements	spdxLicenseId	spdxLicenseSeeAlso
"<a href=""http://creativecommons.org/publicdomain/mark/1.0/"" rel=""nofollow"">This work is available under the Creative Commons, Public Domain Mark</a>"	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
"<a href=""https://creativecommons.org/licenses/by-nc/3.0/"" rel=""nofollow"">You have permission to make copies of this work under a Creative Commons, Attribution, Non-commercial license.</a>"	CC-BY-3.0	https://creativecommons.org/licenses/by/3.0/legalcode
Arnold Arboretum of Harvard University	NA	NA
Attribution-NonCommercial-ShareAlike 3.0 Unported	CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Carnegie Museum of Natural History	NA	NA
Copyright American Museum of Natural History. Materials in this collection are made available for personal, non-commercial, and educational use. Images and text may not be used for any commercial purposes without prior written permission from the American Museum of Natural History.	NA	NA
Copyright owner: UNEP-WCMC	NA	NA
Copyright Provisions and Restrictions on Copying: The Royal Ontario Museum works contained herein are protected by copyright (unless otherwise indicated), which is held by the Royal Ontario Museum. These works may be reproduced for non-commercial purposes if credit is given and copyright is acknowledged. These works may not be reproduced, in all or in part, for any commercial purpose except under a license from the Royal Ontario Museum. For permission to reproduce, please email: images@rom.on.ca		
Copyright Status: Public domain. The BHL considers that this work is no longer under copyright protection.	CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Digitized with the permission of the rights holder.	NA	NA
Harvard University Botany Libraries	NA	NA
http://biodiversitylibrary.org/permissions	NA	NA
http://biodiversitylibrary.org/permissions  Rights holder: Albany Museum (Grahamstown, South Africa)	NA	NA
http://biodiversitylibrary.org/permissions Rights holder: Albany Museum (Grahamstown, South Africa)	NA	NA
http://creativecommons.org/by-nc-sa/3.0/	CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/1.0/legalcode
http://creativecommons.org/licenses/by/3.0/us/	CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/1.0/legalcode
http://creativecommons.org/licenses/by/4.0	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/legalcode
http://creativecommons.org/licenses/by/4.0/	CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/legalcode
http://creativecommons.org/licenses/by-nc/3.0/	CC-BY-NC-3.0	https://creativecommons.org/licenses/by-nc/3.0/legalcode
http://creativecommons.org/licenses/by-nc/4.0/	CC-BY-NC-4.0	https://creativecommons.org/licenses/by-nc/4.0/legalcode
http://creativecommons.org/licenses/by-nc-sa/3.0	CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
http://creativecommons.org/licenses/by-nc-sa/3.0/	CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
http://creativecommons.org/licenses/by-nc-sa/3.0/us/	CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
http://creativecommons.org/licenses/by-nc-sa/4.0	CC-BY-NC-SA-4.0	https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
http://creativecommons.org/licenses/by-nc-sa/4.0/	CC-BY-NC-SA-4.0	https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
